artist,artist_uri
Eldon,spotify:artist:04GW9HXt9A5aPSNIVBf6m4
Vincent Blue,spotify:artist:2AZgVjkPB4a4ULepFyPPgZ
Sanchez,spotify:artist:5DgeoLBuplcPMYCveVnlbf
Martin Smith,spotify:artist:3ISWX9gKLGkhlgS5AhvlTd
Jade,spotify:artist:2EmcKC5wA38PKb4ue4ZzbE
Airman,spotify:artist:0GTBwQZcSJid6l5iwaWQ8E
Cosmic Boy,spotify:artist:305pg6Bs6Mz9Tm2zK66psY
frad,spotify:artist:1XLYJ9VzlgEpBdlkC4MhOL
ZICO,spotify:artist:4XpUIb8uuNlIWVKmgKZXC0
ACOURVE,spotify:artist:0i9MWBqCpPeaJu6rJkrOoA
MoonMoon,spotify:artist:1LOeaOZCreokgQaauWT5rV
BOL4,spotify:artist:4k5fFEYgkWYrYvtOK3zVBl
LambC,spotify:artist:0BpbTGO68X4wV2aLBzjnhL
Krr,spotify:artist:2wCEpu2tMAildqH0BrJNT7
B.I,spotify:artist:0UntV1Bw2hk3fbRrm9eMP6
Sandeul,spotify:artist:2QeJBmgBdpH4i3uJns5Rdx
GSoul,spotify:artist:4oEXworvhegyK83rZwVyWL
Chan,spotify:artist:3Pl9GRvFkBaFS0sg4Ocg7W
ØFFSHORE,spotify:artist:4D1yVc6ltwIZHxxNPBe552
Blue.D,spotify:artist:0rK0ZPLX4fKnFSbqs6gYfY
softy,spotify:artist:0wcen0V8FgQu6xYupnZMbB
JISLAND,spotify:artist:7mbEee9lT6kG8TyPN9HEbZ
KAI,spotify:artist:6iVo62B0bdTknRcrktCmak
PARKJIWOO,spotify:artist:0NuBvSQbbZW2NL9cwbnpER
T1419,spotify:artist:3uT0R5PsjP0k7NJ565Nqs4
Night Off,spotify:artist:0MrJIVLnVbubveFG4zSy88
Jukjae,spotify:artist:7bWYN0sHvyH7yv1uefX07U
ASH ISLAND,spotify:artist:7IEhlwWQA7pCkEvzwwHehE
Team P NATION,spotify:artist:184xNC34M7C3UatEyPVKdH
Team JYP,spotify:artist:3igE4E2A7Cl6lN6NsDIAab
Saya,spotify:artist:0Twk7swVpScH341g40BIbO
HyunA,spotify:artist:3UwlejyX2b458azZ7eCnHb
M.O.M,spotify:artist:0JnspQOKIcEUcw8GWSIqtn
LABOUM,spotify:artist:4iO5uKMUphLqQ20TfrdZx3
PURPLE KISS,spotify:artist:62T5PGHWJ9sxP2SJq20IHq
Red Velvet - IRENE & SEULGI,spotify:artist:6bwp9ObI8FWvMPCIWVBmhl
(G)I-DLE,spotify:artist:2AfmfGFbe0A0WsTYm0SDTx
BVNDIT,spotify:artist:5dEBuZjTtE68uDgCs23Kuv
Girl Crush,spotify:artist:1KJKSM6Z1NTqcEHgNoUSbe
YEZI,spotify:artist:6LPOT9C3gvGQHxlZtMLHHg
LALARY,spotify:artist:4OFciVHRZd7kgfJfEMeY7q
BamBam,spotify:artist:2p48L95TwEaYkSdn6R7LOr
SUPER JUNIOR,spotify:artist:6gzXCdfYfFe5XKhPKkYqxV
SHAUN,spotify:artist:72nLe76yBFSlP6VBzME358
Whee In,spotify:artist:0BqRGrwqndrtNkojXiqIzL
Why Don't We,spotify:artist:2jnIB6XdLvnJUeNTy5A0J2
NCT 2020,spotify:artist:3IniCa6EijyZ3bsY0eTG3C
THE 8,spotify:artist:4DqFd6XE3dX4LWXHJVVpLk
fromis_9,spotify:artist:24nUVBIlCGi4twz4nYxJum
WJSN,spotify:artist:6hhqsQZhtp9hfaZhSd0VSD
Apink,spotify:artist:2uWcrwgWmZcQc3IPBs3tfU
LIGHTSUM,spotify:artist:57HNdw2ObRmfwWHG8Xhs8t
Weki Meki,spotify:artist:5LWkv2hDbDwZL3zNwZYNPx
Jun Hyo Seong,spotify:artist:73RRzEpK7IQexOhC0CuTRZ
ELRIS,spotify:artist:1mgzY8CsK8lyJy96tT8bV5
Lovelyz,spotify:artist:3g34PW5oNmDBxMVUTzx2XK
NATTY,spotify:artist:1Y3klzPXyHrinIk3tQ20Se
Heyne,spotify:artist:3VIi3w8QEz7SHLBg5XM8c5
DIA,spotify:artist:5Pcx98OUnL52aGZRRQx5v8
Girl's Day,spotify:artist:13kJgvU22LHMsJtGWLmx7W
Nody Cika,spotify:artist:2pETIGvbFcdUF0CnODpycj
DAY6 (Even of Day),spotify:artist:6uAlmplr9znkwaYj3ysgLd
Robin Packalen,spotify:artist:4Q4b4S784htx6DtxcMUfMO
The Black Skirts,spotify:artist:6WeDO4GynFmK4OxwkBzMW8
Saweetie,spotify:artist:6cK3NBO6uP7hh0oyuVELFl
Lolo Zouaï,spotify:artist:2qDIR2WlcW3llkGqJWg9VJ
MOMOLAND,spotify:artist:5RR0MLwcjc87wjSw2JYdwx
MAX,spotify:artist:1bqxdqvUtPWZri43cKHac8
Pentatonix,spotify:artist:26AHtbjWKiwYzsoGoUZq53
Ed Sheeran,spotify:artist:6eUKZXaKkcviH0Ku9w2n3V
Lady Gaga,spotify:artist:1HY2Jd0NmPuamShAr6KMms
Jang Keun-suk,spotify:artist:3OOtuve788y64B4qKtZoci
Masked Wolf,spotify:artist:1uU7g3DNSbsu0QjSEqZtEd
Ben&Ben,spotify:artist:4DAcJXcjX0zlQAZAPAx4Zb
Jubël,spotify:artist:4FcZfItjVIsfO9TynErl7X
Armaan Malik,spotify:artist:4IKVDbCSBTxBeAsMKjAuTs
Peggy Gou,spotify:artist:2mLA48B366zkELXYx7hcDN
Rocket Punch,spotify:artist:4hozqATxbpy9TwKWRT8QVO
Boyz II Men,spotify:artist:6O74knDqdv3XaWtkII7Xjp
Sezairi,spotify:artist:51sob9QZyfLff9XqvYluN5
Jung Yong Hwa,spotify:artist:6zhAP0FoDccL9kuETOC20q
AleXa,spotify:artist:4jCGRzuZkwo8CxboiANMEU
Sung Si Kyung,spotify:artist:7jFUYMpMUBDL4JQtMZ5ilc
BIG MAMA,spotify:artist:34SKCchNLFzBWclGa6l6tQ
Lee Seung Gi,spotify:artist:12AUp9oqeJDhNfO6IhQiNi
JONGHYUN,spotify:artist:5rGgflnIpRNizTCozbYBuY
Punch,spotify:artist:2FgZrgTMX6Sk0VNcOsEPmm
Roy Kim,spotify:artist:3ErHVJMsxTq2lLSmnONBm9
RAVI,spotify:artist:42xj5mBLvrFdW6tYns6mxs
Lee Seung Chul,spotify:artist:5Ecf8RR2UWFAvyeItabffF
SuperM,spotify:artist:5BHFSMEjfLVx1JwRWjAOsE
Girls' Generation,spotify:artist:0Sadg1vgvaPqGTOjxu0N6c
2NE1,spotify:artist:1l0mKo96Jh9HVYONcRl3Yp
